Immigracions externes. Per continent de procedència;;;;;;;;
Barcelona;;;;;;;;
Font:;;;;;;;;
2004-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.;;;;;;;;
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.;;;;;;;;
(b) Ruptura en la sèrie temporal.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/pub/?id=mm&n=487&geo=mun:080193;;;;;;;;
;Resta de la UE;Resta d'Europa;Àfrica;Amèrica;Àsia;Oceania;No consta;Total
2023;16969;12121;6038;49515;15352;471;0;100466
2022;16575;12032;5158;50561;12159;410;0;96895
2021;15209 (b);8168 (b);4235 (b);34051 (b);11042 (b);322 (b);0 (b);73027
2020;7812;4357;1547;17017;4950;210;8045;43938
2019;14086;3907;3048;34939;10197;330;9362;75869
2018;13057;3651;2478;28165;8633;285;8865;65134
2017;13373;3442;1796;25079;7431;218;7516;58855
2016;11102;2777;1499;19419;6563;220;7916;49496
2015;10911;2743;1329;15442;5567;149;10023;46164
2014;9352;2486;1091;12074;4571;144;10647;40365
2013;7372;1839;1130;9243;4636;114;10259;34593
2012;7787;1752;1066;10430;5737;83;10709;37564
2011;9061;1835;1311;12996;7099;125;13939;46366
2010;8906;1652;1516;12194;9165;102;15643;49178
2009;9064;1678;1792;12924;6955;94;12104;44611
2008;11062;2304;3116;21743;10878;115;10275;59493
2007;12343;3148;2714;25293;9044;88;8743;61373
2006;9284;4920;2077;24585;6174;76;11529;58645
2005;4952;2384;1347;11973;3712;40;27401;51809
2004;222;100;29;387;82;4;48040;48864
