Any;Població;Densitat;Naixements;Defuncions;Migracions internes;Migracions externes;Aturats;Pensionistes;HPO acabats;Habitatges acabats;Turismes;Motocicletes;RFDH;Taxa natalitat;Taxa mortalitat;Taxa atur;Taxa dependència;Taxa HPO;Taxa habitatges;Taxa turismes;Taxa motocicletes
2010;207339.0;5486.6;2447.0;1650.0;-33.0;2086.0;18449.0;43260.0;384.0;922.0;92100.0;12285.0;16771.0;1.18;0.8;8.9;20.86;1.85;4.45;44.42;5.93
2011;206949.0;5496.7;2389.0;1644.0;449.0;2060.0;19225.4;43914.0;51.0;427.0;91228.0;12626.0;16878.0;1.15;0.79;9.29;21.22;0.25;2.06;44.08;6.1
2012;207939.0;5502.5;2301.0;1780.0;704.0;1602.0;20591.3;44568.0;618.0;667.0;90576.0;12859.0;16005.0;1.11;0.86;9.9;21.43;2.97;3.21;43.56;6.18
2013;207648.0;5494.8;2130.0;1685.0;740.0;1569.0;20689.1;44943.0;4.0;150.0;89695.0;13010.0;15854.0;1.03;0.81;9.96;21.64;0.02;0.72;43.2;6.27
2014;207444.0;5489.4;2099.0;1697.0;645.0;1734.0;18884.7;45282.0;0.0;226.0;89789.0;13285.0;16048.0;1.01;0.82;9.1;21.83;0.0;1.09;43.28;6.4
2015;207815.0;5499.2;2098.0;1757.0;271.0;2094.0;16947.1;45456.0;96.0;101.0;90905.0;13713.0;16651.0;1.01;0.85;8.15;21.87;0.46;0.49;43.74;6.6
2016;208246.0;5510.6;2154.0;1713.0;884.0;2476.0;14951.9;45629.0;7.0;81.0;93187.0;14282.0;17008.0;1.03;0.82;7.18;21.91;0.03;0.39;44.75;6.86
2017;209931.0;5555.2;2017.0;1771.0;815.0;3034.0;13440.8;45970.0;6.0;68.0;95808.0;14672.0;17215.0;0.96;0.84;6.4;21.9;0.03;0.32;45.64;6.99
2018;211734.0;5602.9;1875.0;1880.0;519.0;3638.0;12782.2;46314.0;0.0;209.0;97239.0;15330.0;17466.0;0.89;0.89;6.04;21.87;0.0;0.99;45.93;7.24
2019;213646.0;5653.5;1881.0;1875.0;233.0;4269.0;12300.9;46432.0;15.0;201.0;98230.0;15940.0;18073.0;0.88;0.88;5.76;21.73;0.07;0.94;45.98;7.46
2020;216522.0;5729.6;1722.0;2254.0;-106.0;2423.0;14327.5;46053.0;22.0;688.0;98432.0;16361.0;17477.0;0.8;1.04;6.62;21.27;0.1;3.18;45.46;7.56
2021;216759.0;5721.2;1768.0;1953.0;-464.0;3362.0;13653.2;46196.0;84.0;587.0;97696.0;16719.0;18569.0;0.82;0.9;6.3;21.31;0.39;2.71;45.07;7.71
2022;215042.0;5709.5;1680.0;1972.0;431.0;5274.0;11727.5;46559.0;4.0;410.0;96334.0;17181.0;19107.0;0.78;0.92;5.45;21.65;0.02;1.91;44.8;7.99
2023;217968.0;5767.9;1639.0;1868.0;955.0;5752.0;11283.5;46458.0;104.0;349.0;96251.0;17844.0;19645.0;0.75;0.86;5.18;21.31;0.48;1.6;44.16;8.19
2024;221564.0;5863.0;1610.0;1890.0;1479.0;6230.0;11078.8;46872.0;22.0;419.0;95235.0;18663.0;20183.0;0.73;0.85;5.0;21.16;0.1;1.89;42.98;8.42
